k_best,trials,alg,param,accuracy,precision,recall,f1
2, 10,decision_tree,split:2;leaf:1,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,decision_tree,split:2;leaf:2,0.785714285714,0.0833333333333,0.05,0.0625
2, 10,decision_tree,split:2;leaf:3,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,decision_tree,split:3;leaf:1,0.814285714286,0.2,0.1,0.133333333333
2, 10,decision_tree,split:3;leaf:2,0.785714285714,0.0833333333333,0.05,0.0625
2, 10,decision_tree,split:3;leaf:3,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,knn,auto - 1,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,knn,ball_tree - 1,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,knn,kd_tree - 1,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,knn,brute - 1,0.807142857143,0.181818181818,0.1,0.129032258065
2, 10,ada,5,0.792857142857,0.0909090909091,0.05,0.0645161290323
2, 10,ada,10,0.778571428571,0.0769230769231,0.05,0.0606060606061
2, 10,ada,20,0.8,0.166666666667,0.1,0.125
2, 10,forest,1,0.821428571429,0.272727272727,0.15,0.193548387097
2, 10,forest,5,0.821428571429,0.142857142857,0.05,0.0740740740741
