k_best,trials,alg,param,accuracy,precision,recall,f1
4, 1000,bayes,,0.837230769231,0.444866920152,0.234,0.306684141547
4, 1000,decision_tree,split:2;leaf:1,0.836,0.463045912654,0.4135,0.436872688854
4, 1000,decision_tree,split:2;leaf:2,0.823076923077,0.414285714286,0.3625,0.386666666667
4, 1000,decision_tree,split:2;leaf:3,0.836153846154,0.461401425178,0.3885,0.421824104235
4, 1000,decision_tree,split:3;leaf:1,0.834230769231,0.455434157562,0.396,0.42364268521
4, 1000,decision_tree,split:3;leaf:2,0.824461538462,0.419703872437,0.3685,0.392438764643
4, 1000,decision_tree,split:3;leaf:3,0.837,0.464562239428,0.39,0.424028268551
4, 1000,knn,auto - 1,0.810230769231,0.357011635028,0.2915,0.32094687586
4, 1000,knn,auto - 2,0.846230769231,0.502564102564,0.049,0.0892938496583
4, 1000,knn,auto - 3,0.829307692308,0.259340659341,0.059,0.0961303462322
4, 1000,knn,auto - 5,0.838384615385,0.096,0.006,0.0112941176471
4, 1000,knn,ball_tree - 1,0.810230769231,0.357011635028,0.2915,0.32094687586
4, 1000,knn,ball_tree - 2,0.846230769231,0.502564102564,0.049,0.0892938496583
4, 1000,knn,ball_tree - 3,0.829307692308,0.259340659341,0.059,0.0961303462322
4, 1000,knn,ball_tree - 5,0.838384615385,0.096,0.006,0.0112941176471
4, 1000,knn,kd_tree - 1,0.810230769231,0.357011635028,0.2915,0.32094687586
4, 1000,knn,kd_tree - 2,0.846230769231,0.502564102564,0.049,0.0892938496583
4, 1000,knn,kd_tree - 3,0.829307692308,0.259340659341,0.059,0.0961303462322
4, 1000,knn,kd_tree - 5,0.838384615385,0.096,0.006,0.0112941176471
4, 1000,knn,brute - 1,0.810230769231,0.357011635028,0.2915,0.32094687586
4, 1000,knn,brute - 2,0.846230769231,0.502564102564,0.049,0.0892938496583
4, 1000,knn,brute - 3,0.829307692308,0.259340659341,0.059,0.0961303462322
4, 1000,knn,brute - 5,0.838384615385,0.096,0.006,0.0112941176471
4, 1000,ada,1,0.831384615385,0.203703703704,0.033,0.0567986230637
4, 1000,ada,5,0.848230769231,0.52067381317,0.17,0.256313607237
4, 1000,ada,10,0.847538461538,0.508506616257,0.269,0.351863963375
4, 1000,ada,20,0.841307692308,0.477024070022,0.327,0.38801542569
4, 1000,forest,1,0.804384615385,0.338872403561,0.2855,0.309905020353
4, 1000,forest,5,0.838615384615,0.448312236287,0.2125,0.288331071913
4, 1000,forest,10,0.852307692308,0.568728522337,0.1655,0.256390395043
4, 1000,forest,25,0.854769230769,0.580924855491,0.201,0.298662704309
