k_best,trials,alg,param,accuracy,precision,recall,f1
5, 100,bayes,,0.834615384615,0.43119266055,0.235,0.304207119741
5, 100,decision_tree,split:2;leaf:1,0.818461538462,0.394117647059,0.335,0.362162162162
5, 100,decision_tree,split:2;leaf:2,0.819230769231,0.39263803681,0.32,0.35261707989
5, 100,decision_tree,split:2;leaf:3,0.829230769231,0.436046511628,0.375,0.403225806452
5, 100,decision_tree,split:3;leaf:1,0.828461538462,0.430303030303,0.355,0.38904109589
5, 100,decision_tree,split:3;leaf:2,0.823846153846,0.411042944785,0.335,0.36914600551
5, 100,decision_tree,split:3;leaf:3,0.829230769231,0.432926829268,0.355,0.39010989011
5, 100,knn,auto - 1,0.821538461538,0.390410958904,0.285,0.329479768786
5, 100,knn,auto - 2,0.846153846154,0.5,0.03,0.0566037735849
5, 100,knn,auto - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
5, 100,knn,ball_tree - 1,0.821538461538,0.390410958904,0.285,0.329479768786
5, 100,knn,ball_tree - 2,0.846153846154,0.5,0.03,0.0566037735849
5, 100,knn,ball_tree - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
5, 100,knn,kd_tree - 1,0.821538461538,0.390410958904,0.285,0.329479768786
5, 100,knn,kd_tree - 2,0.846153846154,0.5,0.03,0.0566037735849
5, 100,knn,kd_tree - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
5, 100,knn,brute - 1,0.821538461538,0.390410958904,0.285,0.329479768786
5, 100,knn,brute - 2,0.846153846154,0.5,0.03,0.0566037735849
5, 100,knn,brute - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
5, 100,ada,1,0.84,0.3,0.03,0.0545454545455
5, 100,ada,5,0.847692307692,0.515625,0.165,0.25
5, 100,ada,10,0.85,0.52380952381,0.275,0.360655737705
5, 100,ada,20,0.843846153846,0.489208633094,0.34,0.401179941003
5, 100,forest,1,0.796923076923,0.309523809524,0.26,0.282608695652
5, 100,forest,5,0.84,0.453488372093,0.195,0.272727272727
5, 100,forest,10,0.853076923077,0.595744680851,0.14,0.226720647773
5, 100,forest,25,0.846923076923,0.508474576271,0.15,0.23166023166
