k_best,trials,alg,param,accuracy,precision,recall,f1
3, 10,bayes,,0.864285714286,0.545454545455,0.3,0.387096774194
3, 10,decision_tree,split:2;leaf:1,0.778571428571,0.176470588235,0.15,0.162162162162
3, 10,decision_tree,split:2;leaf:2,0.75,0.0588235294118,0.05,0.0540540540541
3, 10,decision_tree,split:2;leaf:3,0.8,0.214285714286,0.15,0.176470588235
3, 10,decision_tree,split:3;leaf:1,0.778571428571,0.176470588235,0.15,0.162162162162
3, 10,decision_tree,split:3;leaf:2,0.771428571429,0.0714285714286,0.05,0.0588235294118
3, 10,decision_tree,split:3;leaf:3,0.785714285714,0.1875,0.15,0.166666666667
3, 10,knn,auto - 1,0.85,0.454545454545,0.25,0.322580645161
3, 10,knn,ball_tree - 1,0.85,0.454545454545,0.25,0.322580645161
3, 10,knn,kd_tree - 1,0.85,0.454545454545,0.25,0.322580645161
3, 10,knn,brute - 1,0.85,0.454545454545,0.25,0.322580645161
3, 10,ada,5,0.785714285714,0.0833333333333,0.05,0.0625
3, 10,ada,10,0.8,0.25,0.2,0.222222222222
3, 10,ada,20,0.821428571429,0.352941176471,0.3,0.324324324324
3, 10,forest,1,0.785714285714,0.142857142857,0.1,0.117647058824
3, 10,forest,5,0.792857142857,0.153846153846,0.1,0.121212121212
3, 10,forest,10,0.821428571429,0.142857142857,0.05,0.0740740740741
