k_best,trials,alg,param,accuracy,precision,recall,f1
4, 10,bayes,,0.842857142857,0.375,0.15,0.214285714286
4, 10,decision_tree,split:2;leaf:1,0.8,0.25,0.2,0.222222222222
4, 10,decision_tree,split:2;leaf:2,0.764285714286,0.190476190476,0.2,0.19512195122
4, 10,decision_tree,split:2;leaf:3,0.778571428571,0.176470588235,0.15,0.162162162162
4, 10,decision_tree,split:3;leaf:1,0.778571428571,0.176470588235,0.15,0.162162162162
4, 10,decision_tree,split:3;leaf:2,0.757142857143,0.111111111111,0.1,0.105263157895
4, 10,decision_tree,split:3;leaf:3,0.785714285714,0.1875,0.15,0.166666666667
4, 10,knn,auto - 1,0.842857142857,0.416666666667,0.25,0.3125
4, 10,knn,ball_tree - 1,0.842857142857,0.416666666667,0.25,0.3125
4, 10,knn,kd_tree - 1,0.842857142857,0.416666666667,0.25,0.3125
4, 10,knn,brute - 1,0.842857142857,0.416666666667,0.25,0.3125
4, 10,ada,5,0.785714285714,0.0833333333333,0.05,0.0625
4, 10,ada,10,0.8,0.25,0.2,0.222222222222
4, 10,ada,20,0.821428571429,0.352941176471,0.3,0.324324324324
4, 10,forest,1,0.814285714286,0.285714285714,0.2,0.235294117647
4, 10,forest,5,0.785714285714,0.0833333333333,0.05,0.0625
4, 10,forest,10,0.8,0.1,0.05,0.0666666666667
4, 10,forest,25,0.821428571429,0.222222222222,0.1,0.137931034483
