k_best,trials,alg,param,accuracy,precision,recall,f1
4, 100,bayes,,0.715384615385,0.117117117117,0.13,0.123222748815
4, 100,decision_tree,split:2;leaf:1,0.782307692308,0.306976744186,0.33,0.318072289157
4, 100,decision_tree,split:2;leaf:2,0.798461538462,0.323863636364,0.285,0.303191489362
4, 100,decision_tree,split:2;leaf:3,0.813846153846,0.36875,0.295,0.327777777778
4, 100,decision_tree,split:3;leaf:1,0.787692307692,0.311881188119,0.315,0.313432835821
4, 100,decision_tree,split:3;leaf:2,0.796923076923,0.320224719101,0.285,0.301587301587
4, 100,decision_tree,split:3;leaf:3,0.816153846154,0.374193548387,0.29,0.32676056338
4, 100,knn,auto - 1,0.788461538462,0.278106508876,0.235,0.254742547425
4, 100,knn,auto - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
4, 100,knn,auto - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
4, 100,knn,ball_tree - 1,0.788461538462,0.278106508876,0.235,0.254742547425
4, 100,knn,ball_tree - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
4, 100,knn,ball_tree - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
4, 100,knn,kd_tree - 1,0.788461538462,0.278106508876,0.235,0.254742547425
4, 100,knn,kd_tree - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
4, 100,knn,kd_tree - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
4, 100,knn,brute - 1,0.788461538462,0.278106508876,0.235,0.254742547425
4, 100,knn,brute - 2,0.842307692308,0.368421052632,0.035,0.0639269406393
4, 100,knn,brute - 3,0.824615384615,0.166666666667,0.035,0.0578512396694
4, 100,ada,1,0.822307692308,0.030303030303,0.005,0.00858369098712
4, 100,ada,5,0.820769230769,0.291139240506,0.115,0.164874551971
4, 100,ada,10,0.817692307692,0.349593495935,0.215,0.266253869969
4, 100,ada,20,0.827692307692,0.415492957746,0.295,0.345029239766
4, 100,forest,1,0.793846153846,0.315217391304,0.29,0.302083333333
4, 100,forest,5,0.810769230769,0.290909090909,0.16,0.206451612903
4, 100,forest,10,0.827692307692,0.363636363636,0.16,0.222222222222
4, 100,forest,25,0.83,0.389473684211,0.185,0.250847457627
