k_best,trials,alg,param,accuracy,precision,recall,f1
2, 100,bayes,,0.820769230769,0.0285714285714,0.005,0.00851063829787
2, 100,decision_tree,split:2;leaf:1,0.756923076923,0.207070707071,0.205,0.206030150754
2, 100,decision_tree,split:2;leaf:2,0.762307692308,0.195530726257,0.175,0.184696569921
2, 100,decision_tree,split:2;leaf:3,0.789230769231,0.305263157895,0.29,0.297435897436
2, 100,decision_tree,split:3;leaf:1,0.764615384615,0.215053763441,0.2,0.20725388601
2, 100,decision_tree,split:3;leaf:2,0.767692307692,0.203488372093,0.175,0.188172043011
2, 100,decision_tree,split:3;leaf:3,0.785384615385,0.293193717277,0.28,0.286445012788
2, 100,knn,auto - 1,0.750769230769,0.0507246376812,0.035,0.0414201183432
2, 100,knn,auto - 3,0.806153846154,0.0666666666667,0.02,0.0307692307692
2, 100,knn,ball_tree - 1,0.750769230769,0.0507246376812,0.035,0.0414201183432
2, 100,knn,ball_tree - 3,0.806153846154,0.0666666666667,0.02,0.0307692307692
2, 100,knn,kd_tree - 1,0.750769230769,0.0507246376812,0.035,0.0414201183432
2, 100,knn,kd_tree - 3,0.806153846154,0.0666666666667,0.02,0.0307692307692
2, 100,knn,brute - 1,0.750769230769,0.0507246376812,0.035,0.0414201183432
2, 100,knn,brute - 3,0.806153846154,0.0666666666667,0.02,0.0307692307692
2, 100,ada,5,0.823846153846,0.204081632653,0.05,0.0803212851406
2, 100,ada,10,0.816923076923,0.341666666667,0.205,0.25625
2, 100,ada,20,0.806153846154,0.311594202899,0.215,0.254437869822
2, 100,forest,1,0.766153846154,0.226315789474,0.215,0.220512820513
2, 100,forest,5,0.772307692308,0.106557377049,0.065,0.0807453416149
2, 100,forest,10,0.813076923077,0.135593220339,0.04,0.0617760617761
2, 100,forest,25,0.793076923077,0.027397260274,0.01,0.014652014652
