k_best,trials,alg,param,accuracy,precision,recall,f1
4, 100,bayes,,0.848461538462,0.516483516484,0.235,0.323024054983
4, 100,decision_tree,split:2;leaf:1,0.835384615385,0.459302325581,0.395,0.424731182796
4, 100,decision_tree,split:2;leaf:2,0.833846153846,0.452380952381,0.38,0.413043478261
4, 100,decision_tree,split:2;leaf:3,0.846923076923,0.502958579882,0.425,0.460704607046
4, 100,decision_tree,split:3;leaf:1,0.836923076923,0.464285714286,0.39,0.423913043478
4, 100,decision_tree,split:3;leaf:2,0.830769230769,0.440476190476,0.37,0.402173913043
4, 100,decision_tree,split:3;leaf:3,0.846153846154,0.5,0.415,0.453551912568
4, 100,knn,auto - 1,0.821538461538,0.390410958904,0.285,0.329479768786
4, 100,knn,auto - 2,0.846153846154,0.5,0.03,0.0566037735849
4, 100,knn,auto - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
4, 100,knn,ball_tree - 1,0.821538461538,0.390410958904,0.285,0.329479768786
4, 100,knn,ball_tree - 2,0.846153846154,0.5,0.03,0.0566037735849
4, 100,knn,ball_tree - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
4, 100,knn,kd_tree - 1,0.821538461538,0.390410958904,0.285,0.329479768786
4, 100,knn,kd_tree - 2,0.846153846154,0.5,0.03,0.0566037735849
4, 100,knn,kd_tree - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
4, 100,knn,brute - 1,0.821538461538,0.390410958904,0.285,0.329479768786
4, 100,knn,brute - 2,0.846153846154,0.5,0.03,0.0566037735849
4, 100,knn,brute - 3,0.829230769231,0.176470588235,0.03,0.0512820512821
4, 100,ada,1,0.84,0.3,0.03,0.0545454545455
4, 100,ada,5,0.853076923077,0.581818181818,0.16,0.250980392157
4, 100,ada,10,0.845384615385,0.49504950495,0.25,0.332225913621
4, 100,ada,20,0.843076923077,0.484848484848,0.32,0.385542168675
4, 100,forest,1,0.796923076923,0.29746835443,0.235,0.262569832402
4, 100,forest,5,0.842307692308,0.471264367816,0.205,0.285714285714
4, 100,forest,10,0.848461538462,0.531914893617,0.125,0.202429149798
4, 100,forest,25,0.860769230769,0.63768115942,0.22,0.327137546468
